"FECHA_PRECIO","ANIO_PRECIO","MES_PRECIO","DIA_PRECIO","DEPARTAMENTO_EDS","MUNICIPIO_EDS","NOMBRE_COMERCIAL_EDS","PRECIO_PROMEDIO_PUBLICADO","TIPO_COMBUSTIBLE","CODIGO_MUNICIPIO_DANE","LATITUD_MUNICIPIO","LONGITUD_MUNICIPIO"
"2023-9-01","2023","9","01","META","CUMARAL","ESTACIÓN DE SERVICIO LA VICTORIA DE CUMARAL GNV","2,099","GNCV","50226","4.27004","-73.487"
"2023-2-01","2023","2","01","BOGOTA D.C.","BOGOTA, D.C.","EDS TERPEL GNV JAVERIANA","2,149","GNCV","11001","4.64925","-74.107"
"2023-2-01","2023","2","01","BOLIVAR","CARTAGENA DE INDIAS","PLEXA SAS ESP","1,351","GNCV","13001","10.3851","-75.496"
"2021-7-01","2021","7","01","ATLANTICO","SOLEDAD","ESTACION DE SERVICIO TERPEL VILLA ESTADIO - GNV","1,609","GNCV","08758","10.9099","-74.786"
"2024-10-01","2024","10","01","CUNDINAMARCA","COTA","EDS ESSO AUTOPISTA MEDELLÍN","2,470","GNCV","25214","4.81256","-74.102"
"2023-11-01","2023","11","01","ANTIOQUIA","APARTADO","EPM NAVARRA","2,430","GNCV","05045","7.88297","-76.625"
"2024-11-01","2024","11","01","VALLE DEL CAUCA","CALI","EDS LA CASONA GNV","3,495","GNCV","76001","3.41369","-76.521"
"2022-3-01","2022","3","01","CORDOBA","MONTERIA","EDS TERPEL EL CORTIJO - GNV","1,747","GNCV","23001","8.75979","-75.873"
"2024-1-01","2024","1","01","BOLIVAR","CARTAGENA DE INDIAS","EDS GNV EL TIGRE","2,386","GNCV","13001","10.3851","-75.496"
"2023-1-01","2023","1","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO TERPEL AV DE CALI","2,099","GNCV","11001","4.64925","-74.107"
"2023-6-01","2023","6","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ORION","2,189","GNCV","11001","4.64925","-74.107"
"2025-3-01","2025","3","01","MAGDALENA","SANTA MARTA","EDS ESTADIO GNV","3,067","GNCV","47001","11.2047","-74.199"
"2024-10-01","2024","10","01","BOGOTA D.C.","BOGOTA, D.C.","EDS TERPEL GNV JAVERIANA","2,692","GNCV","11001","4.64925","-74.107"
"2024-2-01","2024","2","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO TM AMERICAS","1,799","GNCV","11001","4.64925","-74.107"
"2022-5-01","2022","5","01","CUNDINAMARCA","SOACHA","EDS EL RETORNO GNV","1,799","GNCV","25754","4.57927","-74.215"
"2021-7-01","2021","7","01","ANTIOQUIA","APARTADO","EPM NAVARRA","1,800","GNCV","05045","7.88297","-76.625"
"2023-5-01","2023","5","01","ATLANTICO","BARRANQUILLA","EDS LA UNION GNV","2,026","GNCV","08001","10.978","-74.815"
"2025-1-01","2025","1","01","ANTIOQUIA","MEDELLIN","EDS EL VOLADOR","3,399","GNCV","05001","6.24663","-75.581"
"2022-10-01","2022","10","01","ANTIOQUIA","MEDELLIN","ESTACION DE SERVICIO GNV APOLO","2,265","GNCV","05001","6.24663","-75.581"
"2023-12-01","2023","12","01","ANTIOQUIA","MEDELLIN","ESTACION DE SERVICIO GNV TERPEL CAMPO VALDEZ","2,565","GNCV","05001","6.24663","-75.581"
"2022-10-01","2022","10","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO EL CAMBIO S.A.S","2,287","GNCV","76001","3.41369","-76.521"
"2024-12-01","2024","12","01","META","VILLAVICENCIO","ESTACIÓN DE SERVICIO MILENIUMGAS TERMINAL","3,700","GNCV","50001","4.12637","-73.622"
"2025-6-01","2025","6","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO ESPERANZA BOSA","2,519","GNCV","11001","4.64925","-74.107"
"2024-11-01","2024","11","01","BOLIVAR","CARTAGENA DE INDIAS","ESTACIÓN PIE DE LA POPA","2,588","GNCV","13001","10.3851","-75.496"
"2023-8-01","2023","8","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIOS LAS CEIBAS CALI S.A.S.","2,610","GNCV","76001","3.41369","-76.521"
"2022-3-01","2022","3","01","QUINDIO","ARMENIA","ESTACION DE SERVICIO GNV EL CENTRO","2,194","GNCV","63001","4.53598","-75.680"
"2021-8-01","2021","8","01","ATLANTICO","BARRANQUILLA","GAZEL AUTONOMA","1,589","GNCV","08001","10.978","-74.815"
"2024-8-01","2024","8","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO AVENIDA 68","2,319","GNCV","11001","4.64925","-74.107"
"2022-2-01","2022","2","01","ATLANTICO","BARRANQUILLA","GAS COMBUSTIBLE S.A. GASCOM S.A.","1,647","GNCV","08001","10.978","-74.815"
"2022-9-01","2022","9","01","ANTIOQUIA","MEDELLIN","ESTACION DE SERVICIO GNV COLOMBIA","2,155","GNCV","05001","6.24663","-75.581"
"2025-7-01","2025","7","01","ATLANTICO","BARRANQUILLA","EDS SAN PEDRO","2,799","GNCV","08001","10.978","-74.815"
"2021-6-01","2021","6","01","BOGOTA D.C.","BOGOTA, D.C.","EDS PATIO SITP SAN BERNARDINO","1,499","GNCV","11001","4.64925","-74.107"
"2024-9-01","2024","9","01","VALLE DEL CAUCA","CALI","GREEN EDS BARRANQUILLA","3,342","GNCV","76001","3.41369","-76.521"
"2022-9-01","2022","9","01","ANTIOQUIA","ENVIGADO","ESTACIÓN DE SERVICIOS TEXACO AUTOGAS LAS VEGAS","2,155","GNCV","05266","6.1667","-75.582"
"2022-10-01","2022","10","01","BOGOTA D.C.","BOGOTA, D.C.","ESTACIÓN DE SERVICIO MILENIUMGAS KENNEDY","1,910","GNCV","11001","4.64925","-74.107"
"2023-6-01","2023","6","01","QUINDIO","ARMENIA","EDS TERPEL EL TINTAL GNV","2,495","GNCV","63001","4.53598","-75.680"
"2024-6-01","2024","6","01","CUNDINAMARCA","MOSQUERA","ESTACION DE SERVICIO EL PORVENIR","2,359","GNCV","25473","4.70653","-74.221"
"2022-10-01","2022","10","01","ANTIOQUIA","ITAGUI","EDS EL VENADO GAZEL","2,265","GNCV","05360","6.17508","-75.612"
"2021-8-01","2021","8","01","ATLANTICO","BARRANQUILLA","EDS LA PAZ BARRANQUILLA GNV","1,589","GNCV","08001","10.978","-74.815"
"2022-1-01","2022","1","01","HUILA","NEIVA","ESTACION DE SERVICIO COOTRANSHUILA GNV","1,978","GNCV","41001","2.93543","-75.277"
"2024-5-01","2024","5","01","BOGOTA D.C.","BOGOTA, D.C.","EDS ESSO AVENIDA 68","2,219","GNCV","11001","4.64925","-74.107"
"2024-12-01","2024","12","01","BOYACA","CHIQUINQUIRA","ESTACION DE SERVICIO COLOMBA","2,690","GNCV","15176","5.61379","-73.818"
"2023-4-01","2023","4","01","ATLANTICO","BARRANQUILLA","ESTACIÓN DE SERVICIO COLISEO S.A.","2,026","GNCV","08001","10.978","-74.815"
"2024-8-01","2024","8","01","META","CUMARAL","ESTACIÓN DE SERVICIO LA VICTORIA DE CUMARAL GNV","2,389","GNCV","50226","4.27004","-73.487"
"2024-8-01","2024","8","01","VALLE DEL CAUCA","CALI","ESTACION DE SERVICIO AUTOMOTRIZ GUADUALES GNV","2,897","GNCV","76001","3.41369","-76.521"
"2021-5-01","2021","5","01","ANTIOQUIA","MEDELLIN","ESTACIÓN DE SERVICIOS EPM LA 30","1,800","GNCV","05001","6.24663","-75.581"
"2023-11-01","2023","11","01","VALLE DEL CAUCA","CALI","OPECOM EDS SILOE","2,767","GNCV","76001","3.41369","-76.521"
